"species","attribute","prob_low","prob_mod","prob_high","expected_score"
"Acanthurus bahianus","r",0.2024,0.2066,0.591,2.3886
"Acanthurus bahianus","K",0,0,1,3
"Acanthurus bahianus","tmax",1e-04,0.9998,1e-04,2
"Acanthurus bahianus","tm",0.4987,0.4803,0.021,1.5223
"Acanthurus bahianus","M",0,0.0048,0.9952,2.9952
"Achirus lineatus","r",0.1195,0.1194,0.7611,2.6416
"Achirus lineatus","K",0.0163,0.0936,0.8901,2.8738
"Achirus lineatus","tmax",0.0095,0.245,0.7455,2.736
"Achirus lineatus","tm",0.6553,0.268,0.0767,1.4214
"Achirus lineatus","M",0.0237,0.1486,0.8277,2.804
"Bagre marinus","r",0.2277,0.2828,0.4895,2.2618
"Bagre marinus","K",0.2875,0.3715,0.341,2.0535
"Bagre marinus","tmax",0.0992,0.5901,0.3107,2.2115
"Bagre marinus","tm",0.1612,0.3743,0.4645,2.3033
"Bagre marinus","M",0.1492,0.3774,0.4734,2.3242
"Caranx crysos","r",0.0799,0.1774,0.7427,2.6628
"Caranx crysos","K",0.0058,0.2517,0.7425,2.7367
"Caranx crysos","tmax",7e-04,0.3487,0.6506,2.6499
"Caranx crysos","tm",0.516,0.4265,0.0575,1.5415
"Caranx crysos","M",0,0.0449,0.9551,2.9551
"Cephalopholis fulva","r",0.0772,0.2592,0.6636,2.5864
"Cephalopholis fulva","K",3e-04,0.213,0.7867,2.7864
"Cephalopholis fulva","tmax",8e-04,0.6704,0.3288,2.328
"Cephalopholis fulva","tm",0.0502,0.5168,0.433,2.3828
"Cephalopholis fulva","M",1e-04,0.1338,0.8661,2.866
"Epinephelus adscensionis","r",0.097,0.5216,0.3814,2.2844
"Epinephelus adscensionis","K",0.0394,0.7957,0.1649,2.1255
"Epinephelus adscensionis","tmax",1e-04,0.931,0.0689,2.0688
"Epinephelus adscensionis","tm",0.0058,0.2853,0.7089,2.7031
"Epinephelus adscensionis","M",0.0099,0.6084,0.3817,2.3718
"Haemulon parra","r",0.1234,0.2107,0.6659,2.5425
"Haemulon parra","K",0.0746,0.4816,0.4438,2.3692
"Haemulon parra","tmax",0.0218,0.7333,0.2449,2.2231
"Haemulon parra","tm",0.1825,0.5459,0.2716,2.0891
"Haemulon parra","M",4e-04,0.0643,0.9353,2.9349
"Sparisoma axillare","r",0.1686,0.2062,0.6252,2.4566
"Sparisoma axillare","K",4e-04,0.0158,0.9838,2.9834
"Sparisoma axillare","tmax",0.0011,0.2557,0.7432,2.7421
"Sparisoma axillare","tm",0.6821,0.2784,0.0395,1.3574
"Sparisoma axillare","M",0.0369,0.3402,0.6229,2.586
"Sphyrna lewini","r",1,0,0,1
"Sphyrna lewini","K",0.9686,0.0314,0,1.0314
"Sphyrna lewini","tmax",0.7578,0.2422,0,1.2422
"Sphyrna lewini","tm",0,0,1,3
"Sphyrna lewini","M",0.9345,0.0655,0,1.0655
